Time,Precipitation(mm)
01/01/2015 3:00,0
02/01/2015 3:00,19.6
03/01/2015 3:00,20.8
04/01/2015 3:00,10
05/01/2015 3:00,0
06/01/2015 3:00,0
07/01/2015 3:00,0
08/01/2015 3:00,6
09/01/2015 3:00,0
10/01/2015 3:00,0
11/01/2015 3:00,0
12/01/2015 3:00,0
13/01/2015 3:00,0
14/01/2015 3:00,0
15/01/2015 3:00,0
16/01/2015 3:00,0
17/01/2015 3:00,0
18/01/2015 3:00,0
19/01/2015 3:00,0
20/01/2015 3:00,0
21/01/2015 3:00,0
22/01/2015 3:00,0
23/01/2015 3:00,0
24/01/2015 3:00,0
25/01/2015 3:00,0
26/01/2015 3:00,0
27/01/2015 3:00,0
28/01/2015 3:00,0
29/01/2015 3:00,0
30/01/2015 3:00,0
31/01/2015 3:00,0
01/02/2015 3:00,0
02/02/2015 3:00,0
03/02/2015 3:00,4
04/02/2015 3:00,0
05/02/2015 3:00,0
06/02/2015 3:00,0
07/02/2015 3:00,0
08/02/2015 3:00,0
09/02/2015 3:00,0
10/02/2015 3:00,0
11/02/2015 3:00,0
12/02/2015 3:00,0
13/02/2015 3:00,0
14/02/2015 3:00,0
15/02/2015 3:00,0
16/02/2015 3:00,0
17/02/2015 3:00,0
18/02/2015 3:00,0
19/02/2015 3:00,16.6
20/02/2015 3:00,0
21/02/2015 3:00,20
22/02/2015 3:00,0
23/02/2015 3:00,0
24/02/2015 3:00,0
25/02/2015 3:00,0
26/02/2015 3:00,4.2
27/02/2015 3:00,0
28/02/2015 3:00,0
01/03/2015 3:00,0
02/03/2015 3:00,30
03/03/2015 3:00,4.2
04/03/2015 3:00,6.8
05/03/2015 3:00,0
06/03/2015 3:00,0
07/03/2015 3:00,0
08/03/2015 3:00,0
09/03/2015 3:00,0
10/03/2015 3:00,0
11/03/2015 3:00,0
12/03/2015 3:00,0
13/03/2015 3:00,0
14/03/2015 3:00,0
15/03/2015 3:00,10
16/03/2015 3:00,4.8
17/03/2015 3:00,12
18/03/2015 3:00,0
19/03/2015 3:00,2.4
20/03/2015 3:00,0
21/03/2015 3:00,0
22/03/2015 3:00,0
23/03/2015 3:00,0
24/03/2015 3:00,0
25/03/2015 3:00,0
26/03/2015 3:00,0
27/03/2015 3:00,38.2
28/03/2015 3:00,2.6
29/03/2015 3:00,0
30/03/2015 3:00,6.6
31/03/2015 3:00,16.4
01/04/2015 3:00,0
02/04/2015 3:00,8.8
03/04/2015 3:00,0
04/04/2015 3:00,0
05/04/2015 3:00,4
06/04/2015 3:00,0
07/04/2015 3:00,0
08/04/2015 3:00,0
09/04/2015 3:00,0
10/04/2015 3:00,0
11/04/2015 3:00,4.2
12/04/2015 3:00,0
13/04/2015 3:00,8
14/04/2015 3:00,4
15/04/2015 3:00,0
16/04/2015 3:00,0
17/04/2015 3:00,0
18/04/2015 3:00,0
19/04/2015 3:00,0
20/04/2015 3:00,10.6
21/04/2015 3:00,0
22/04/2015 3:00,4.4
23/04/2015 3:00,6
24/04/2015 3:00,0
25/04/2015 3:00,2
26/04/2015 3:00,6.2
27/04/2015 3:00,0
28/04/2015 3:00,0
29/04/2015 3:00,4
30/04/2015 3:00,30.6
01/05/2015 3:00,2.2
02/05/2015 3:00,0
03/05/2015 3:00,10.8
04/05/2015 3:00,0
05/05/2015 3:00,0
06/05/2015 3:00,0
07/05/2015 3:00,0
08/05/2015 3:00,0
09/05/2015 3:00,2
10/05/2015 3:00,0
11/05/2015 3:00,0
12/05/2015 3:00,10.6
13/05/2015 3:00,0
14/05/2015 3:00,0
15/05/2015 3:00,2
16/05/2015 3:00,0
17/05/2015 3:00,0
18/05/2015 3:00,30
19/05/2015 3:00,0
20/05/2015 3:00,10
21/05/2015 3:00,2
22/05/2015 3:00,46.4
23/05/2015 3:00,0
24/05/2015 3:00,0
25/05/2015 3:00,2
26/05/2015 3:00,0
27/05/2015 3:00,4.8
28/05/2015 3:00,8.4
29/05/2015 3:00,6
30/05/2015 3:00,2
31/05/2015 3:00,4
01/06/2015 3:00,38.2
02/06/2015 3:00,4
03/06/2015 3:00,4.8
04/06/2015 3:00,0
05/06/2015 3:00,0
06/06/2015 3:00,0
07/06/2015 3:00,0
08/06/2015 3:00,0
09/06/2015 3:00,0
10/06/2015 3:00,0
11/06/2015 3:00,10.8
12/06/2015 3:00,62.2
13/06/2015 3:00,10.4
14/06/2015 3:00,8.8
15/06/2015 3:00,2
16/06/2015 3:00,0
17/06/2015 3:00,30.4
18/06/2015 3:00,0
19/06/2015 3:00,8
20/06/2015 3:00,10.2
21/06/2015 3:00,50.4
22/06/2015 3:00,42
23/06/2015 3:00,4.6
24/06/2015 3:00,40.8
25/06/2015 3:00,46.6
26/06/2015 3:00,0
27/06/2015 3:00,48
28/06/2015 3:00,6.2
29/06/2015 3:00,30.8
30/06/2015 3:00,2
01/07/2015 3:00,0
02/07/2015 3:00,42
03/07/2015 3:00,18.6
04/07/2015 3:00,106
05/07/2015 3:00,42.2
06/07/2015 3:00,0
07/07/2015 3:00,10.4
08/07/2015 3:00,8
09/07/2015 3:00,10.6
10/07/2015 3:00,2
11/07/2015 3:00,16.2
12/07/2015 3:00,2
13/07/2015 3:00,0
14/07/2015 3:00,8.6
15/07/2015 3:00,50
16/07/2015 3:00,160
17/07/2015 3:00,40.4
18/07/2015 3:00,50.2
19/07/2015 3:00,76
20/07/2015 3:00,50.4
21/07/2015 3:00,30.2
22/07/2015 3:00,32
23/07/2015 3:00,10.8
24/07/2015 3:00,18
25/07/2015 3:00,10.4
26/07/2015 3:00,8
27/07/2015 3:00,80
28/07/2015 3:00,10.6
29/07/2015 3:00,4.8
30/07/2015 3:00,130.4
31/07/2015 3:00,46.6
01/08/2015 3:00,10.8
02/08/2015 3:00,12.4
03/08/2015 3:00,10.6
04/08/2015 3:00,86.2
05/08/2015 3:00,10
06/08/2015 3:00,8.4
07/08/2015 3:00,8.6
08/08/2015 3:00,0
09/08/2015 3:00,4
10/08/2015 3:00,8.2
11/08/2015 3:00,80
12/08/2015 3:00,2.8
13/08/2015 3:00,40
14/08/2015 3:00,22.6
15/08/2015 3:00,36.4
16/08/2015 3:00,8.8
17/08/2015 3:00,38.2
18/08/2015 3:00,78.8
19/08/2015 3:00,8.6
20/08/2015 3:00,10
21/08/2015 3:00,76
22/08/2015 3:00,86.2
23/08/2015 3:00,30
24/08/2015 3:00,56.4
25/08/2015 3:00,38
26/08/2015 3:00,0
27/08/2015 3:00,46.6
28/08/2015 3:00,56
29/08/2015 3:00,50.2
30/08/2015 3:00,128
31/08/2015 3:00,10.2
01/09/2015 3:00,16
02/09/2015 3:00,10.4
03/09/2015 3:00,8.6
04/09/2015 3:00,0
05/09/2015 3:00,0
06/09/2015 3:00,80
07/09/2015 3:00,0
08/09/2015 3:00,10.2
09/09/2015 3:00,8
10/09/2015 3:00,0
11/09/2015 3:00,2.8
12/09/2015 3:00,50
13/09/2015 3:00,10.2
14/09/2015 3:00,44
15/09/2015 3:00,70.4
16/09/2015 3:00,0
17/09/2015 3:00,0
18/09/2015 3:00,0
19/09/2015 3:00,0
20/09/2015 3:00,30.6
21/09/2015 3:00,0
22/09/2015 3:00,116
23/09/2015 3:00,20.4
24/09/2015 3:00,10
25/09/2015 3:00,120.2
26/09/2015 3:00,2.8
27/09/2015 3:00,0
28/09/2015 3:00,16
29/09/2015 3:00,2.8
30/09/2015 3:00,0
01/10/2015 3:00,0
02/10/2015 3:00,30
03/10/2015 3:00,10.8
04/10/2015 3:00,0
05/10/2015 3:00,0
06/10/2015 3:00,0
07/10/2015 3:00,0
08/10/2015 3:00,0
09/10/2015 3:00,0
10/10/2015 3:00,0
11/10/2015 3:00,0
12/10/2015 3:00,0
13/10/2015 3:00,0
14/10/2015 3:00,0
15/10/2015 3:00,12.8
16/10/2015 3:00,0
17/10/2015 3:00,32.8
18/10/2015 3:00,0
19/10/2015 3:00,0
20/10/2015 3:00,0
21/10/2015 3:00,2
22/10/2015 3:00,0
23/10/2015 3:00,0
24/10/2015 3:00,12
25/10/2015 3:00,0
26/10/2015 3:00,0
27/10/2015 3:00,0
28/10/2015 3:00,0
29/10/2015 3:00,8.4
30/10/2015 3:00,4
31/10/2015 3:00,0
01/11/2015 3:00,0
02/11/2015 3:00,0
03/11/2015 3:00,24.6
04/11/2015 3:00,16
05/11/2015 3:00,0
06/11/2015 3:00,10
07/11/2015 3:00,0
08/11/2015 3:00,0
09/11/2015 3:00,0
10/11/2015 3:00,0
11/11/2015 3:00,0
12/11/2015 3:00,0
13/11/2015 3:00,0
14/11/2015 3:00,0
15/11/2015 3:00,0
16/11/2015 3:00,0
17/11/2015 3:00,0
18/11/2015 3:00,2
19/11/2015 3:00,0
20/11/2015 3:00,0
21/11/2015 3:00,0
22/11/2015 3:00,0
23/11/2015 3:00,0
24/11/2015 3:00,0
25/11/2015 3:00,0
26/11/2015 3:00,0
27/11/2015 3:00,0
28/11/2015 3:00,0
29/11/2015 3:00,0
30/11/2015 3:00,0
01/12/2015 3:00,0
02/12/2015 3:00,0
03/12/2015 3:00,0
04/12/2015 3:00,0
05/12/2015 3:00,0
06/12/2015 3:00,0
07/12/2015 3:00,0
08/12/2015 3:00,0
09/12/2015 3:00,0
10/12/2015 3:00,0
11/12/2015 3:00,0
12/12/2015 3:00,0
13/12/2015 3:00,0
14/12/2015 3:00,0
15/12/2015 3:00,0
16/12/2015 3:00,0
17/12/2015 3:00,0
18/12/2015 3:00,0
19/12/2015 3:00,0
20/12/2015 3:00,0
21/12/2015 3:00,0
22/12/2015 3:00,0
23/12/2015 3:00,0
24/12/2015 3:00,0
25/12/2015 3:00,0
26/12/2015 3:00,0
27/12/2015 3:00,0
28/12/2015 3:00,0
29/12/2015 3:00,0
30/12/2015 3:00,0
31/12/2015 3:00,0
01/01/2016 3:00,0
02/01/2016 3:00,0
03/01/2016 3:00,0
04/01/2016 3:00,0
05/01/2016 3:00,0
06/01/2016 3:00,0
07/01/2016 3:00,0
08/01/2016 3:00,0
09/01/2016 3:00,10
10/01/2016 3:00,0
11/01/2016 3:00,0
12/01/2016 3:00,0
13/01/2016 3:00,0
14/01/2016 3:00,0
15/01/2016 3:00,0
16/01/2016 3:00,0
17/01/2016 3:00,0
18/01/2016 3:00,0
19/01/2016 3:00,0
20/01/2016 3:00,0
21/01/2016 3:00,0
22/01/2016 3:00,0
23/01/2016 3:00,0
24/01/2016 3:00,0
25/01/2016 3:00,0
26/01/2016 3:00,0
27/01/2016 3:00,0
28/01/2016 3:00,0
29/01/2016 3:00,0
30/01/2016 3:00,0
31/01/2016 3:00,0
01/02/2016 3:00,0
02/02/2016 3:00,0
03/02/2016 3:00,0
04/02/2016 3:00,0
05/02/2016 3:00,0
06/02/2016 3:00,0
07/02/2016 3:00,0
08/02/2016 3:00,0
09/02/2016 3:00,0
10/02/2016 3:00,0
11/02/2016 3:00,0
12/02/2016 3:00,0
13/02/2016 3:00,0
14/02/2016 3:00,0
15/02/2016 3:00,0
16/02/2016 3:00,0
17/02/2016 3:00,0
18/02/2016 3:00,0
19/02/2016 3:00,0
20/02/2016 3:00,0
21/02/2016 3:00,0
22/02/2016 3:00,0
23/02/2016 3:00,0
24/02/2016 3:00,0
25/02/2016 3:00,2.6
26/02/2016 3:00,0
27/02/2016 3:00,0
28/02/2016 3:00,0
29/02/2016 3:00,0
01/03/2016 3:00,0
02/03/2016 3:00,0
03/03/2016 3:00,0
04/03/2016 3:00,2
05/03/2016 3:00,2.6
06/03/2016 3:00,30
07/03/2016 3:00,0
08/03/2016 3:00,0
09/03/2016 3:00,0
10/03/2016 3:00,0
11/03/2016 3:00,0
12/03/2016 3:00,0
13/03/2016 3:00,0
14/03/2016 3:00,10.2
15/03/2016 3:00,4.2
16/03/2016 3:00,0
17/03/2016 3:00,0
18/03/2016 3:00,0
19/03/2016 3:00,0
20/03/2016 3:00,0
21/03/2016 3:00,0
22/03/2016 3:00,0
23/03/2016 3:00,0
24/03/2016 3:00,0
25/03/2016 3:00,0
26/03/2016 3:00,0
27/03/2016 3:00,0
28/03/2016 3:00,20.8
29/03/2016 3:00,10.4
30/03/2016 3:00,0
31/03/2016 3:00,10
01/04/2016 3:00,0
02/04/2016 3:00,8.8
03/04/2016 3:00,0
04/04/2016 3:00,0
05/04/2016 3:00,0
06/04/2016 3:00,2.4
07/04/2016 3:00,0
08/04/2016 3:00,0
09/04/2016 3:00,0
10/04/2016 3:00,0
11/04/2016 3:00,0
12/04/2016 3:00,0
13/04/2016 3:00,0
14/04/2016 3:00,2.2
15/04/2016 3:00,0
16/04/2016 3:00,0
17/04/2016 3:00,0
18/04/2016 3:00,0
19/04/2016 3:00,16
20/04/2016 3:00,0
21/04/2016 3:00,0
22/04/2016 3:00,0
23/04/2016 3:00,0
24/04/2016 3:00,0
25/04/2016 3:00,0
26/04/2016 3:00,0
27/04/2016 3:00,0
28/04/2016 3:00,0
29/04/2016 3:00,0
30/04/2016 3:00,0
01/05/2016 3:00,0
02/05/2016 3:00,0
03/05/2016 3:00,0
04/05/2016 3:00,0
05/05/2016 3:00,0
06/05/2016 3:00,2
07/05/2016 3:00,4.2
08/05/2016 3:00,0
09/05/2016 3:00,0
10/05/2016 3:00,0
11/05/2016 3:00,0
12/05/2016 3:00,0
13/05/2016 3:00,4.8
14/05/2016 3:00,8
15/05/2016 3:00,8.6
16/05/2016 3:00,8.4
17/05/2016 3:00,14.6
18/05/2016 3:00,4
19/05/2016 3:00,0
20/05/2016 3:00,46.6
21/05/2016 3:00,16.4
22/05/2016 3:00,0
23/05/2016 3:00,0
24/05/2016 3:00,0
25/05/2016 3:00,2
26/05/2016 3:00,10
27/05/2016 3:00,0
28/05/2016 3:00,90.8
29/05/2016 3:00,42.2
30/05/2016 3:00,2
31/05/2016 3:00,30
01/06/2016 3:00,0
02/06/2016 3:00,18.2
03/06/2016 3:00,0
04/06/2016 3:00,0
05/06/2016 3:00,0
06/06/2016 3:00,16
07/06/2016 3:00,4.2
08/06/2016 3:00,0
09/06/2016 3:00,0
10/06/2016 3:00,42
11/06/2016 3:00,0
12/06/2016 3:00,96
13/06/2016 3:00,44.2
14/06/2016 3:00,96.8
15/06/2016 3:00,12.6
16/06/2016 3:00,16.4
17/06/2016 3:00,0
18/06/2016 3:00,12.8
19/06/2016 3:00,105
20/06/2016 3:00,36.6
21/06/2016 3:00,38
22/06/2016 3:00,14.8
23/06/2016 3:00,36.4
24/06/2016 3:00,52
25/06/2016 3:00,24.6
26/06/2016 3:00,10
27/06/2016 3:00,12.8
28/06/2016 3:00,4
29/06/2016 3:00,24.2
30/06/2016 3:00,38
01/07/2016 3:00,12.2
02/07/2016 3:00,70
03/07/2016 3:00,4
04/07/2016 3:00,88
05/07/2016 3:00,18.2
06/07/2016 3:00,6
07/07/2016 3:00,16.8
08/07/2016 3:00,14.2
09/07/2016 3:00,0
10/07/2016 3:00,130
11/07/2016 3:00,36.6
12/07/2016 3:00,90.2
13/07/2016 3:00,50
14/07/2016 3:00,12.4
15/07/2016 3:00,62
16/07/2016 3:00,42.8
17/07/2016 3:00,46
18/07/2016 3:00,12
19/07/2016 3:00,2
20/07/2016 3:00,50.6
21/07/2016 3:00,46
22/07/2016 3:00,20.8
23/07/2016 3:00,36.6
24/07/2016 3:00,40
25/07/2016 3:00,76.8
26/07/2016 3:00,166
27/07/2016 3:00,42.4
28/07/2016 3:00,4
29/07/2016 3:00,6.2
30/07/2016 3:00,4
31/07/2016 3:00,6.4
01/08/2016 3:00,6.4
02/08/2016 3:00,0
03/08/2016 3:00,2.6
04/08/2016 3:00,2
05/08/2016 3:00,0
06/08/2016 3:00,44
07/08/2016 3:00,38.2
08/08/2016 3:00,6
09/08/2016 3:00,0
10/08/2016 3:00,4.4
11/08/2016 3:00,6.8
12/08/2016 3:00,4
13/08/2016 3:00,4.2
14/08/2016 3:00,6.8
15/08/2016 3:00,8.6
16/08/2016 3:00,2
17/08/2016 3:00,42
18/08/2016 3:00,42.4
19/08/2016 3:00,16.8
20/08/2016 3:00,6.6
21/08/2016 3:00,0
22/08/2016 3:00,42
23/08/2016 3:00,0
24/08/2016 3:00,0
25/08/2016 3:00,0
26/08/2016 3:00,40.2
27/08/2016 3:00,0
28/08/2016 3:00,0
29/08/2016 3:00,2.8
30/08/2016 3:00,120.2
31/08/2016 3:00,50.4
01/09/2016 3:00,116
02/09/2016 3:00,46.4
03/09/2016 3:00,48.6
04/09/2016 3:00,66.2
05/09/2016 3:00,0
06/09/2016 3:00,0
07/09/2016 3:00,80
08/09/2016 3:00,190.8
09/09/2016 3:00,18.6
10/09/2016 3:00,160.4
11/09/2016 3:00,52.2
12/09/2016 3:00,0
13/09/2016 3:00,4.8
14/09/2016 3:00,6.6
15/09/2016 3:00,0
16/09/2016 3:00,12.4
17/09/2016 3:00,82
18/09/2016 3:00,160.2
19/09/2016 3:00,2
20/09/2016 3:00,126.8
21/09/2016 3:00,48
22/09/2016 3:00,4
23/09/2016 3:00,2.8
24/09/2016 3:00,42
25/09/2016 3:00,0
26/09/2016 3:00,6.2
27/09/2016 3:00,0
28/09/2016 3:00,8.4
29/09/2016 3:00,4.8
30/09/2016 3:00,0
01/10/2016 3:00,10.8
02/10/2016 3:00,36
03/10/2016 3:00,38.2
04/10/2016 3:00,0
05/10/2016 3:00,4
06/10/2016 3:00,46
07/10/2016 3:00,2.2
08/10/2016 3:00,36
09/10/2016 3:00,10
10/10/2016 3:00,80.2
11/10/2016 3:00,48
12/10/2016 3:00,0
13/10/2016 3:00,0
14/10/2016 3:00,0
15/10/2016 3:00,8
16/10/2016 3:00,0
17/10/2016 3:00,0
18/10/2016 3:00,0
19/10/2016 3:00,0
20/10/2016 3:00,0
21/10/2016 3:00,0
22/10/2016 3:00,0
23/10/2016 3:00,0
24/10/2016 3:00,0
25/10/2016 3:00,0
26/10/2016 3:00,0
27/10/2016 3:00,0
28/10/2016 3:00,0
29/10/2016 3:00,0
30/10/2016 3:00,0
31/10/2016 3:00,0
01/11/2016 3:00,0
02/11/2016 3:00,0
03/11/2016 3:00,0
04/11/2016 3:00,0
05/11/2016 3:00,0
06/11/2016 3:00,0
07/11/2016 3:00,0
08/11/2016 3:00,0
09/11/2016 3:00,0
10/11/2016 3:00,0
11/11/2016 3:00,0
12/11/2016 3:00,0
13/11/2016 3:00,0
14/11/2016 3:00,0
15/11/2016 3:00,0
16/11/2016 3:00,0
17/11/2016 3:00,0
18/11/2016 3:00,0
19/11/2016 3:00,0
20/11/2016 3:00,0
21/11/2016 3:00,0
22/11/2016 3:00,0
23/11/2016 3:00,0
24/11/2016 3:00,0
25/11/2016 3:00,0
26/11/2016 3:00,0
27/11/2016 3:00,0
28/11/2016 3:00,0
29/11/2016 3:00,0
30/11/2016 3:00,0
01/12/2016 3:00,0
02/12/2016 3:00,0
03/12/2016 3:00,0
04/12/2016 3:00,0
05/12/2016 3:00,0
06/12/2016 3:00,0
07/12/2016 3:00,0
08/12/2016 3:00,0
09/12/2016 3:00,0
10/12/2016 3:00,0
11/12/2016 3:00,0
12/12/2016 3:00,0
13/12/2016 3:00,0
14/12/2016 3:00,0
15/12/2016 3:00,0
16/12/2016 3:00,0
17/12/2016 3:00,0
18/12/2016 3:00,0
19/12/2016 3:00,0
20/12/2016 3:00,0
21/12/2016 3:00,0
22/12/2016 3:00,0
23/12/2016 3:00,0
24/12/2016 3:00,0
25/12/2016 3:00,0
26/12/2016 3:00,0
27/12/2016 3:00,0
28/12/2016 3:00,0
29/12/2016 3:00,0
30/12/2016 3:00,0
31/12/2016 3:00,0
01/01/2017 3:00,0
02/01/2017 3:00,0
03/01/2017 3:00,0
04/01/2017 3:00,0
05/01/2017 3:00,0
06/01/2017 3:00,0
07/01/2017 3:00,0
08/01/2017 3:00,0
09/01/2017 3:00,0
10/01/2017 3:00,0
11/01/2017 3:00,2.6
12/01/2017 3:00,0
13/01/2017 3:00,0
14/01/2017 3:00,0
15/01/2017 3:00,0
16/01/2017 3:00,0
17/01/2017 3:00,0
18/01/2017 3:00,0
19/01/2017 3:00,0
20/01/2017 3:00,0
21/01/2017 3:00,0
22/01/2017 3:00,0
23/01/2017 3:00,0
24/01/2017 3:00,0
25/01/2017 3:00,0
26/01/2017 3:00,0
27/01/2017 3:00,0
28/01/2017 3:00,6.4
29/01/2017 3:00,0
30/01/2017 3:00,0
31/01/2017 3:00,0
01/02/2017 3:00,0
02/02/2017 3:00,0
03/02/2017 3:00,0
04/02/2017 3:00,0
05/02/2017 3:00,0
06/02/2017 3:00,0
07/02/2017 3:00,0
08/02/2017 3:00,0
09/02/2017 3:00,0
10/02/2017 3:00,0
11/02/2017 3:00,0
12/02/2017 3:00,0
13/02/2017 3:00,0
14/02/2017 3:00,0
15/02/2017 3:00,0
16/02/2017 3:00,0
17/02/2017 3:00,0
18/02/2017 3:00,0
19/02/2017 3:00,0
20/02/2017 3:00,0
21/02/2017 3:00,0
22/02/2017 3:00,0
23/02/2017 3:00,0
24/02/2017 3:00,0
25/02/2017 3:00,0
26/02/2017 3:00,0
27/02/2017 3:00,0
28/02/2017 3:00,0
01/03/2017 3:00,0
02/03/2017 3:00,0
03/03/2017 3:00,0
04/03/2017 3:00,0
05/03/2017 3:00,0
06/03/2017 3:00,0
07/03/2017 3:00,0
08/03/2017 3:00,0
09/03/2017 3:00,4
10/03/2017 3:00,4.6
11/03/2017 3:00,38.4
12/03/2017 3:00,6
13/03/2017 3:00,0
14/03/2017 3:00,0
15/03/2017 3:00,0
16/03/2017 3:00,30
17/03/2017 3:00,0
18/03/2017 3:00,0
19/03/2017 3:00,0
20/03/2017 3:00,4
21/03/2017 3:00,0
22/03/2017 3:00,0
23/03/2017 3:00,0
24/03/2017 3:00,0
25/03/2017 3:00,0
26/03/2017 3:00,0
27/03/2017 3:00,4.2
28/03/2017 3:00,36.4
29/03/2017 3:00,16.8
30/03/2017 3:00,12.4
31/03/2017 3:00,0
01/04/2017 3:00,0
02/04/2017 3:00,30
03/04/2017 3:00,4
04/04/2017 3:00,10.2
05/04/2017 3:00,12
06/04/2017 3:00,2.4
07/04/2017 3:00,4
08/04/2017 3:00,2.2
09/04/2017 3:00,0
10/04/2017 3:00,0
11/04/2017 3:00,0
12/04/2017 3:00,0
13/04/2017 3:00,0
14/04/2017 3:00,0
15/04/2017 3:00,10
16/04/2017 3:00,0
17/04/2017 3:00,0
18/04/2017 3:00,0
19/04/2017 3:00,2
20/04/2017 3:00,4
21/04/2017 3:00,6.2
22/04/2017 3:00,46
23/04/2017 3:00,50.2
24/04/2017 3:00,6.8
25/04/2017 3:00,0
26/04/2017 3:00,0
27/04/2017 3:00,0
28/04/2017 3:00,4
29/04/2017 3:00,0
30/04/2017 3:00,10
01/05/2017 3:00,0
02/05/2017 3:00,0
03/05/2017 3:00,0
04/05/2017 3:00,40.2
05/05/2017 3:00,4
06/05/2017 3:00,0
07/05/2017 3:00,2
08/05/2017 3:00,0
09/05/2017 3:00,2.8
10/05/2017 3:00,0
11/05/2017 3:00,0
12/05/2017 3:00,42
13/05/2017 3:00,0
14/05/2017 3:00,0
15/05/2017 3:00,0
16/05/2017 3:00,2.2
17/05/2017 3:00,4.2
18/05/2017 3:00,0
19/05/2017 3:00,16.8
20/05/2017 3:00,0
21/05/2017 3:00,32.4
22/05/2017 3:00,4
23/05/2017 3:00,10.2
24/05/2017 3:00,4.8
25/05/2017 3:00,0
26/05/2017 3:00,4.2
27/05/2017 3:00,0
28/05/2017 3:00,0
29/05/2017 3:00,10
30/05/2017 3:00,6
31/05/2017 3:00,2.2
01/06/2017 3:00,6.8
02/06/2017 3:00,38
03/06/2017 3:00,10.2
04/06/2017 3:00,0
05/06/2017 3:00,12
06/06/2017 3:00,30.8
07/06/2017 3:00,2.6
08/06/2017 3:00,0
09/06/2017 3:00,10
10/06/2017 3:00,0
11/06/2017 3:00,0
12/06/2017 3:00,0
13/06/2017 3:00,26.4
14/06/2017 3:00,2
15/06/2017 3:00,2.2
16/06/2017 3:00,80
17/06/2017 3:00,0
18/06/2017 3:00,30.8
19/06/2017 3:00,16.6
20/06/2017 3:00,18
21/06/2017 3:00,12
22/06/2017 3:00,2
23/06/2017 3:00,16.4
24/06/2017 3:00,0
25/06/2017 3:00,0
26/06/2017 3:00,0
27/06/2017 3:00,156
28/06/2017 3:00,8.2
29/06/2017 3:00,16
30/06/2017 3:00,90
01/07/2017 3:00,130
02/07/2017 3:00,270.4
03/07/2017 3:00,70.8
04/07/2017 3:00,10.6
05/07/2017 3:00,42
06/07/2017 3:00,16.2
07/07/2017 3:00,26.4
08/07/2017 3:00,0
09/07/2017 3:00,100.6
10/07/2017 3:00,160
11/07/2017 3:00,16.8
12/07/2017 3:00,46
13/07/2017 3:00,0
