Time,Pokhara Airport,Lumle,Begnas,Month,Year
31/01/2015,20.97741935,14.32258065,21.0516129,1,2015
28/02/2015,23.1,15.91071429,23.91785714,2,2015
31/03/2015,26.18387097,18.91935484,26.68387097,3,2015
30/04/2015,28.06666667,20.28,29.76333333,4,2015
31/05/2015,31.26451613,23.92580645,32.79354839,5,2015
30/06/2015,31.61,24.62,32.99666667,6,2015
31/07/2015,31.15483871,23.9483871,32.80645161,7,2015
31/08/2015,30.91290323,23.42580645,32.3,8,2015
30/09/2015,31.08333333,23.74333333,32.67,9,2015
31/10/2015,28.11612903,21.55806452,29.80322581,10,2015
30/11/2015,24.74333333,18.23666667,26.22333333,11,2015
31/12/2015,20.4483871,14.50645161,21.62258065,12,2015
31/01/2016,19.8516129,13.0483871,20.85806452,1,2016
29/02/2016,24.56551724,17.64482759,25.54137931,2,2016
31/03/2016,28.1,21.02580645,29.24193548,3,2016
30/04/2016,31.81,24.35333333,32.93666667,4,2016
31/05/2016,30.57741935,23.15806452,32.11612903,5,2016
30/06/2016,30.79666667,23.78,32.40333333,6,2016
31/07/2016,30.01612903,22.81290323,31.35483871,7,2016
31/08/2016,32.0516129,25.14193548,33.75483871,8,2016
30/09/2016,30.13666667,23.05333333,32.2,9,2016
31/10/2016,28.88709677,21.99545455,30.97741935,10,2016
30/11/2016,25.47333333,18.61,27.10666667,11,2016
31/12/2016,23.11612903,16.72258065,24.31935484,12,2016
31/01/2017,22.01612903,15.40645161,23.41290323,1,2017
28/02/2017,25.18214286,17.48214286,25.77857143,2,2017
31/03/2017,25.82580645,17.58709677,26.89354839,3,2017
30/04/2017,29.77333333,22.45,31.23,4,2017
31/05/2017,30.09354839,22.67741935,31.85806452,5,2017
30/06/2017,31.81333333,24.24,33.75333333,6,2017
31/07/2017,30.91290323,24.08709677,32.93870968,7,2017
31/08/2017,30.70645161,23.52258065,32.8483871,8,2017
30/09/2017,31.1,23.86666667,33.67333333,9,2017
31/10/2017,29.19354839,22.46129032,31.58064516,10,2017
30/11/2017,25.28333333,18.5,26.98666667,11,2017
31/12/2017,22.98709677,16.70645161,23.87096774,12,2017
31/01/2018,20.53225806,13.5516129,21.02258065,1,2018
28/02/2018,24.14285714,16.78928571,24.71071429,2,2018
31/03/2018,28.29677419,20.29677419,28.79677419,3,2018
30/04/2018,29.04666667,21.56666667,30.3,4,2018
31/05/2018,29.36774194,21.88709677,31.70967742,5,2018
30/06/2018,31.4,23.96666667,33.77,6,2018
31/07/2018,31.16774194,23.93548387,32.84516129,7,2018
31/08/2018,31.05806452,23.64516129,32.47096774,8,2018
30/09/2018,30.43,23.03333333,32.04333333,9,2018
31/10/2018,27.69677419,20.38709677,29.06451613,10,2018
30/11/2018,24.26666667,17.76,25.06666667,11,2018
31/12/2018,20.76129032,13.9516129,21.61935484,12,2018
31/01/2019,20.38064516,13.98387097,21.16129032,1,2019
28/02/2019,21.80714286,15.13571429,22.85714286,2,2019
31/03/2019,26.33225806,19.14516129,27.15806452,3,2019
30/04/2019,28.67666667,20.91666667,30.02666667,4,2019
31/05/2019,31.10322581,23.91935484,32.38709677,5,2019
30/06/2019,31.47666667,24.38333333,33.82333333,6,2019
31/07/2019,31.20322581,23.91935484,32.01935484,7,2019
31/08/2019,32.32580645,25.14516129,33.29677419,8,2019
30/09/2019,29.61,22.91666667,32.07333333,9,2019
31/10/2019,27.99677419,20.85483871,30.01935484,10,2019
30/11/2019,25.65666667,19.30666667,26.64,11,2019
31/12/2019,19.59032258,14.27419355,20.28709677,12,2019
31/01/2020,18.19677419,12.85483871,18.18387097,1,2020
29/02/2020,21.92068966,14.27586207,22.78275862,2,2020
31/03/2020,26.69354839,18.54516129,27.70322581,3,2020
30/04/2020,28.59666667,20.66333333,29.75,4,2020
31/05/2020,29.41290323,21.9516129,31.44516129,5,2020
30/06/2020,30.43,23.11666667,31.91,6,2020
31/07/2020,29.88709677,22.59677419,31.80322581,7,2020
31/08/2020,31.40967742,24.33225806,32.7516129,8,2020
30/09/2020,29.72333333,23.06666667,31.04333333,9,2020
31/10/2020,30.01935484,23.24193548,30.31290323,10,2020
30/11/2020,25.27666667,18.68333333,26.175,11,2020
31/12/2020,21.09032258,15.34516129,22.30967742,12,2020
31/01/2021,21.04193548,15.37741935,22.28709677,1,2021
28/02/2021,24.15,17.125,24.93571429,2,2021
31/03/2021,27.85806452,20.86451613,28.92258065,3,2021
30/04/2021,30.05333333,22.91,30.73333333,4,2021
31/05/2021,29.03225806,22.00967742,30.53870968,5,2021
30/06/2021,30.04666667,23.49333333,31.24666667,6,2021
31/07/2021,30.49354839,23.64516129,32.09677419,7,2021
31/08/2021,30.2516129,22.95483871,31.90645161,8,2021
30/09/2021,30.54666667,23.53333333,31.92,9,2021
31/10/2021,28.83225806,21.98387097,30.48,10,2021
30/11/2021,23.94666667,17.45,25.02666667,11,2021
31/12/2021,20.63225806,15.03225806,22.13870968,12,2021
31/01/2022,19.78064516,13.25806452,20.58709677,1,2022
28/02/2022,20.54285714,13.30714286,21.225,2,2022
31/03/2022,29.16129032,21.87741935,30.35806452,3,2022
30/04/2022,30.38333333,23.21666667,31.80666667,4,2022
31/05/2022,30.30967742,22.70967742,31.6,5,2022
30/06/2022,31.23,23.68333333,32.21,6,2022
31/07/2022,32.07741935,24.40322581,32.70645161,7,2022
31/08/2022,31.71935484,24.62903226,32.76290323,8,2022
30/09/2022,30.64,22.90333333,32.43,9,2022
31/10/2022,27.86451613,21,30.31290323,10,2022
30/11/2022,27.38333333,19.91666667,27.88055556,11,2022