Date,2015,2016,2017,2018,2019,2020,2021,2022
01-Jan,0,0,0,0,0,0,0,0
02-Jan,15.4,0,0,0,0,0,0,0
03-Jan,21.4,0,0,0,0,0.01,0,0
04-Jan,15.9,0,0,0,0,30.9,0,0
05-Jan,0,0,0,0,0,1.9,0,0
06-Jan,0,0,0,0,0,0,0,0.2
07-Jan,0,0,0,0,0,0,0,0
08-Jan,1.6,0,0,0,0,0.01,0,0
09-Jan,0,0.1,0,0,0,3.5,0,0.01
10-Jan,0,0,0,0,0,0.7,0,0
11-Jan,0,0,0,0,0,0,0,0
12-Jan,0,0,0,0,0,0.3,0,0
13-Jan,0,0,0,0,0,0,0,0.6
14-Jan,0,0,0,0,0,0,0,0
15-Jan,0,0,0,0,0,0,0,0
16-Jan,0,0,0,0,0,0.7,0,0
17-Jan,0,0,0,0,0,22.5,0,0
18-Jan,0,0,0,0,0,10,0,0
19-Jan,0,0,0,0,0,0.01,0,0
20-Jan,0,0,0,0,0,0,0,0.01
21-Jan,0,2.1,0,0,0,0,0,0.01
22-Jan,0,0.1,0,0,0,0,0,0.01
23-Jan,0,0,5.5,0,4.1,0,0,0
24-Jan,0,0,0,0.6,1,0,0,0.5
25-Jan,0,0,0,0.8,0,0,0,0
26-Jan,0,0,0,0,28,0,0,0
27-Jan,0,0,0,0,1.7,0.01,0,0.01
28-Jan,0,0,0,0,0,0,0,0.01
29-Jan,0,0,0,0,0,0,0,0
30-Jan,0,0,0,0,0,2.9,0,0
31-Jan,0,0,0,0,0,0.4,0,0
01-Feb,0,0,0,0,0,0,0,0
02-Feb,0,0,0,0,0,0,0,0.01
03-Feb,0,0,0,0,0,0,0,0
04-Feb,3.8,0,0,0,0,0,0,23.6
05-Feb,0,0,0,0,0,0,0.2,8.5
06-Feb,0,0,0,0,5.5,0,5.8,0
07-Feb,0,0,0,0,22.8,0,0,0
08-Feb,0,0.1,0,0,35.7,0,0,0
09-Feb,0,0,0,0,0,3.1,0,0
10-Feb,0,0,0,0,0,0,0,1.7
11-Feb,0,0,0,0,0,0,0,0
12-Feb,0,0,0,0,0,0,0,0.6
13-Feb,0,0,0,0,0,0,0,0
14-Feb,0,0,0,0,0,0,0,0
15-Feb,0,0,0,0,0.5,0,0,0
16-Feb,0,0,0,0,19.2,0,8.4,0
17-Feb,0,0,0,0,0,0,6.8,0
18-Feb,0,0,0,0,1.6,0,0,0.1
19-Feb,19.5,0,0,0,9.3,0,0,0
20-Feb,0,0,0,0,0,0,0,6.7
21-Feb,0,0,0,0,0,0,0,20.2
22-Feb,0,0,0,0,0,1.8,0,0
23-Feb,0,0,0,0,0,0,0,0
24-Feb,0,0,0,0,0,0,0,0
25-Feb,0,0,0,0,0.1,2.3,0,0
26-Feb,3,0,0,0,0,14.1,0,7.3
27-Feb,4,0,0,0,8.2,0.01,0.7,4
28-Feb,0,0,0,0,10.6,0,2.8,0.01
01-Mar,0,0,0,0,10.2,0,1.4,0
02-Mar,26.9,0,0,6.1,0,0,0,3.2
03-Mar,4.1,0,0,0.1,0.9,0.7,0,0.2
04-Mar,11.9,3.8,0,0,0.8,0,0,3.5
05-Mar,0,0.4,0,0,5.9,36.6,0,0
06-Mar,0,3.4,0,0,0.2,0.8,0,0
07-Mar,0.6,20.8,0,0,0,0,0,0
08-Mar,0,8.1,0,0,0,25.8,0.6,0
09-Mar,0,0.2,2.8,7.4,8.4,0,0.01,0
10-Mar,0,0,1.6,20.2,0.5,0,0.01,0
11-Mar,0,0,26.6,0,0,0,45.7,0
12-Mar,0,0,4.9,4.6,0,0,1,0
13-Mar,0,0,0,0.9,0,0,0.6,0
14-Mar,0,0,0,0,0,0,0,0
15-Mar,33.1,2.8,0,0,0,0.01,0,0
16-Mar,3,1.3,0,6.5,0,2.1,0.7,0
17-Mar,0,0,10.6,0,0,0,3.2,0
18-Mar,0,0,0,0.8,0,0,0.2,0
19-Mar,10.2,0,0,0,0,0.2,5.8,0
20-Mar,0,0,4.1,0,0.7,10.9,0,0
21-Mar,0,0,0,0,4.4,8,0.6,0
22-Mar,0,0,0,0,0,2.6,0,4.4
23-Mar,0,0,0,0,0,0,0,15.7
24-Mar,0,0,0,0,0,0.01,0,2
25-Mar,0,0,0,0,0,0,0,2.8
26-Mar,0,0,27,0,0.8,0,0,0.01
27-Mar,54.4,0,0,0,14.4,18.9,0,0
28-Mar,6.6,0,9.1,0,0,0,0,0
29-Mar,0,0.9,8.1,5.8,0,0.2,0.3,0
30-Mar,1.8,15.3,10.5,0.7,13.9,0,0.2,8.7
31-Mar,15.3,0,3,2.5,30.1,0,0,0.3
01-Apr,0,36.5,1.1,0,7.7,0,20.4,0.2
02-Apr,0,1.7,28.1,0,0,2.9,0.01,0.1
03-Apr,0,6.1,8.1,0,0,39.4,0,14.2
04-Apr,0.7,1.8,25.2,5.2,0.2,0,0,1.8
05-Apr,3,0,45.4,31.6,6.6,0,0,9.9
06-Apr,0,8,27,0,5,0.2,0,1.5
07-Apr,0,0,6,3.8,7,0,0,16.6
08-Apr,0,0,7.1,25.9,0.7,0,0,12.2
09-Apr,0,0,0,0,0,0,0,9.9
10-Apr,0,0,0,0.7,0,0,0.01,2.9
11-Apr,0.1,0,0,12.9,0.2,0.01,0,21.6
12-Apr,0,0,0,20.4,0,0,0,0
13-Apr,16.1,0,0,8.4,0.4,0,0,6.4
14-Apr,2.7,0,0,2.2,6,0,2.1,0
15-Apr,0,0.7,6.3,0,19.4,42.3,0,0
16-Apr,0,0,0,0,15.8,4.1,7,0
17-Apr,0,0,0,25.3,18.3,11.7,0.5,1.1
18-Apr,0.4,2.7,0,28.5,0.5,11,11,0
19-Apr,0.4,0.3,0,4.7,0,24.6,10.5,0
20-Apr,0,3.3,0,19.8,0,1.6,0,18.3
21-Apr,0,0,5.8,0,0,1.8,0.01,9.5
22-Apr,25.4,0,98.7,5.5,1,6.4,4.8,0
23-Apr,24.7,0,47.8,0,6.6,2.8,1.2,13.1
24-Apr,0,0,5.7,0,0,0.9,0,0
25-Apr,1.4,0,0,0,0,11.9,0,0.01
26-Apr,0,0,0,0,10.5,1.9,0,0
27-Apr,0,0,0,1.8,2,13.6,0,0
28-Apr,0,0,0.5,0,18,40,0,0
29-Apr,15.1,0,0.3,21.6,0,4.3,0,1.6
30-Apr,38.2,0,17.8,2.6,54.5,1.7,6.5,1.8
01-May,0.7,0,7.5,1.2,7.7,9,0,6.2
02-May,0,0,4.5,23.7,7.7,9.5,4.8,3.2
03-May,13.5,0,9.4,11.3,0,0,0,0.01
04-May,0,0,28.5,0.1,0,0.01,1.9,0.01
05-May,0,0,24.2,13.6,11.3,73.2,11.8,78.5
06-May,0,0,0,9.4,11.7,3.5,17,42.1
07-May,0,3.1,1,0.5,0,0.5,0.01,3.7
08-May,10.1,9,0,0,0,4.5,0.7,3.7
09-May,17.8,0,9.8,11.4,0,2,25.4,3.6
10-May,0,0,0,4.9,0,0.01,2,0
11-May,29.6,0,0,0,0,6.8,7.8,0
12-May,0,0,34,2.7,0,4.4,1.8,9
13-May,5.5,0,0,32.7,10,0,16.3,1
14-May,0,1.4,0.7,30.4,8.4,22.9,0.3,27.6
15-May,0,6,0.7,0,14.6,12.8,0,0.4
16-May,0.5,12.1,23.5,40.5,20.1,6,0.7,18.9
17-May,0,11,16.4,20.7,23.4,20.5,5.1,46.4
18-May,6.7,16.1,0,36.3,0,12.3,1.8,7.3
19-May,0,20.7,48.6,0,0,0.01,0.2,3.3
20-May,5.7,0,1.5,4.1,0,50.2,2.1,2.5
21-May,34.5,0.9,9.9,0,11.2,0.9,7,14.3
22-May,8,6.7,3.3,13,63.6,0,0,3.8
23-May,0,0,16.7,1,39,0,0.6,0.01
24-May,12.6,0,0,1.7,1.8,76,0,16.8
25-May,1.6,0.2,0,6.4,9.4,10.8,0,0.01
26-May,2,2.9,15.3,13.8,37.2,31.5,0.7,3
27-May,6.2,12.6,4.4,49.4,0.6,19.8,42.2,0
28-May,16.9,0,3,33.7,58.5,52.9,26.5,12.5
29-May,37.4,1.9,18,0.7,0.3,19.5,88.4,1.5
30-May,0.7,110.2,0.9,0.3,13.5,3.4,14.6,0.1
31-May,3.8,0.1,9.4,73.7,0,0.2,0.3,39.7
01-Jun,22.5,27,0,41.3,35,0.4,7,56.8
02-Jun,3.5,0.3,31.6,1.7,9,2,0.3,0
03-Jun,8.4,2,9.5,2.9,44.1,0.01,0.01,0.01
04-Jun,0,0,0,0,0,5.2,0.01,0
05-Jun,0.1,4.4,5.5,1,5.3,10.9,0.01,0.01
06-Jun,0,1,21.4,0,1.5,6.2,38.8,63.7
07-Jun,0,4.5,1.6,0,16.5,19.1,33.4,15.2
08-Jun,0,0.5,0,26.3,0,35.5,23.5,41.3
09-Jun,7,2.3,0,0,38.4,54.6,10.9,17.9
10-Jun,42.5,0,2.1,0,11.5,101.2,34.7,3.2
11-Jun,29.2,55.2,0,0.3,29,0,0,31.8
12-Jun,77.2,2.4,0,5.7,0.2,0.01,58.5,0.2
13-Jun,28.8,41.5,63.3,0.4,1.4,8.6,35.8,1.7
14-Jun,12.3,39,0.7,3.1,0,2.6,9.2,16.8
15-Jun,0,27,2.4,12.9,83.2,11,93.6,5.5
16-Jun,0,37.5,35.5,29.5,2.3,60.8,110.5,39.7
17-Jun,8.8,12.4,0,8,89.2,23.6,19.9,35.8
18-Jun,0,9,5.4,1.2,17.8,18.6,5.4,40.1
19-Jun,7.1,23.2,20.7,13.4,0.5,12.7,36.1,2
20-Jun,2.6,17.3,5.8,12.8,0.6,47.7,25.4,0.4
21-Jun,58.6,21.6,39.4,49,0,74,1,0
22-Jun,2.3,27.3,1.5,14,15,32.8,0.01,6
23-Jun,6.9,19.6,22.9,2.8,48.5,6.5,56.2,1.8
24-Jun,68.8,12.6,0,33.2,10,11.7,30.4,3.8
25-Jun,52.9,17.8,0,67.5,0,2.6,29.6,121.1
26-Jun,0.1,60.4,3.5,29.2,32.8,0.01,16.5,40.2
27-Jun,40.7,30.3,86.9,8.2,15,4.5,0,48.2
28-Jun,6.1,77.6,12.3,1.2,64.8,82.9,84.8,26.6
29-Jun,20.5,0.6,67.3,0,19.8,19.4,114,152.1
30-Jun,0,14.3,43.3,0.2,16.9,41,53.2,36.7
01-Jul,0.6,27.4,170.5,62,0.5,39.8,12.3,0.5
02-Jul,1.6,17.5,191.4,9.6,18,0,17.9,33.4
03-Jul,22.5,90,4.3,75.7,40.5,0.01,55.1,7.4
04-Jul,7.8,10.8,2.1,63.5,0,48.5,203.4,0
05-Jul,41.1,55,37.1,58.7,34.2,34.8,67.7,29.5
06-Jul,0.1,3.5,34.4,3.2,70.1,0.1,9.1,10.3
07-Jul,12,4.2,3,3.6,0,28.7,258.2,24.6
08-Jul,6.9,0.7,0,23.6,9.2,33.8,46.4,0
09-Jul,12.3,4.5,145.5,70,4.8,3.6,21.7,82.1
10-Jul,0.4,1.9,146.1,32,13.1,132.5,4.1,19
11-Jul,27.7,70,15.6,19.7,2.4,250.9,50.6,0
12-Jul,0.8,15.7,19.4,11.5,0.5,16.7,31.9,4.4
13-Jul,0,17.4,0.1,22.6,5.1,142.6,10.3,10.7
14-Jul,10.9,4.9,0,12.7,36.6,33.7,1.7,9.5
15-Jul,96.8,5.3,10.1,0,25.8,26.8,110,0.01
16-Jul,223.7,7.2,0,26,87.5,23.3,33.7,0
17-Jul,84.2,45,51.1,0,0,2.2,99.5,0
18-Jul,15.8,26.1,15.8,12.5,28.3,20.9,8.4,0.9
19-Jul,8.6,30.8,0,0,60,15.7,3.2,3.9
20-Jul,56.7,0,2.1,0,5.3,37.7,25.3,32
21-Jul,0.6,29,0.5,43.5,12.8,97.5,42.6,105.7
22-Jul,23.1,35.2,2.9,1.8,2,118.7,76,20.5
23-Jul,6.2,25.6,2.3,29.2,17.9,8.8,21.3,10.7
24-Jul,10.6,41.1,16.2,0,17.1,51.9,0,0
25-Jul,4.4,6.3,17.1,10.5,3.4,58.3,8,36.8
26-Jul,10.2,35.1,1,36.5,20.5,0.7,28.7,18.9
27-Jul,8.4,222.9,22,7,18.6,0.5,5.1,51.1
28-Jul,37.1,56.4,0.4,25,0,144.7,4.5,15.7
29-Jul,19.3,1.6,8.3,0,0,6.9,55.7,3.5
30-Jul,116.4,9.7,138.2,36.2,1.8,90.6,23.2,27.3
31-Jul,56.2,0.6,13.5,6.2,9,0.6,11.5,33.4
01-Aug,45.7,3.5,4.6,3.9,12.3,58.8,2.1,
02-Aug,5.9,8.7,83.5,23.2,0.3,96.7,0.01,
03-Aug,0,1.2,51.6,13,3.4,8.2,0,
04-Aug,2.2,0.5,2.6,2.5,2.5,0,21.9,
05-Aug,3.9,0.9,20.6,60.2,53.8,0.7,21.7,
06-Aug,5.6,3.5,15.7,26,4.6,53,0,
07-Aug,8.1,33.2,55,2.7,0,23,0,
08-Aug,0,0.9,1.7,24.3,2.6,3.1,29.8,
09-Aug,9.8,1.1,5,0.3,14.6,1.1,32.7,
10-Aug,45.2,0.5,26.1,13.1,0,5.7,7.1,
11-Aug,70.5,4,89,43,35,136.8,0.01,
12-Aug,0,5,3,1.1,0,45.6,2.5,
13-Aug,45.5,19,19.3,5,5.5,54.7,34.2,
14-Aug,5,1.1,9,40.5,0.1,24,2.5,
15-Aug,69.7,5.8,0,41,13.6,5.2,121.6,
16-Aug,33.8,11,14.5,11.5,6.8,141.1,38.1,
17-Aug,68.6,30.8,31.7,17.7,0,5.9,52.7,
18-Aug,5.2,62.6,0.7,3,0,1.6,52.8,
19-Aug,5.3,0.7,21.1,29.8,6.9,16.8,48.2,
20-Aug,24,3.4,0.6,0,6.2,17.2,0.1,
21-Aug,101.4,0,31,23,3.4,0.3,25.9,
22-Aug,31.1,0,9.5,15.7,34.6,10.6,2.2,
23-Aug,3.5,41,70.7,9.5,0,0.01,260.1,
24-Aug,0,0,0.2,43.5,53.9,30,150,
25-Aug,0,0,5.5,21,13.4,78.5,29,
26-Aug,0,2.3,1.8,5.8,0.1,65.3,22.5,
27-Aug,51.7,12.8,10.8,1.1,1.8,0,70.8,
28-Aug,34.7,0,21.7,7.6,0,1.5,4.9,
29-Aug,60.9,0,0.2,10,42.5,4,33.2,
30-Aug,0,30.5,8.3,2.9,0,7.5,84.5,
31-Aug,44.5,65.5,5.5,98.5,0,1.4,11,
01-Sep,131.7,35.6,85.7,14,25.6,25.7,23.8,
02-Sep,48.2,83.5,153.5,0,2.9,127.5,221.4,
03-Sep,10.8,50.9,78,74.5,29.4,60.1,280,
04-Sep,0,87,76.5,0,107.5,23.2,46.3,
05-Sep,2.9,55,0,0,1,0,16.2,
06-Sep,1.1,0.4,0.3,6.1,3.7,148.7,5.9,
07-Sep,0,0,0,7.2,66.5,39.3,32.7,
08-Sep,7.1,40.5,0.5,0,0,31.2,3.7,
09-Sep,8.5,106.1,42.2,0,0,123,4.4,
10-Sep,0,19.6,2,21.6,5,60.3,0.8,
11-Sep,2.9,51.9,47.5,207,58.7,48.6,1.5,
12-Sep,51.1,13.7,63.7,6.4,8.1,102.5,0,
13-Sep,10.8,4.8,48.6,11.2,5.8,9.5,2.6,
14-Sep,53.4,19.1,0,11.3,6.8,5.7,0,
15-Sep,130.2,1.2,0,49,1.4,26.7,3,
16-Sep,0,0,0,71.2,71,160,5,
17-Sep,0,1.1,0,0.5,76,60.5,9.2,
18-Sep,0,99.9,39.5,0,3.7,90.1,3,
19-Sep,0,274.2,7.2,0,23.5,49.3,0,
20-Sep,58.4,0,0,0,0.2,9,50.3,
21-Sep,0,16.1,4,60,0,0,34.5,
22-Sep,61,14.5,20.6,3,45.1,0,54.4,
23-Sep,23.4,0.4,2.6,0,0.3,17.9,0.2,
24-Sep,9.5,2.1,0,0,7.8,48,0,
25-Sep,90.5,26.9,0,14.6,35.1,84.5,0,
26-Sep,1.2,0,0,0,18.1,12.2,0.01,
27-Sep,0,0.5,0.9,0,1.3,95.2,8,
28-Sep,0.2,0,0.4,0,2.9,0.1,6.4,
29-Sep,0,0,0,0,4.7,0.2,2.2,
30-Sep,0,2.6,38.4,0,0,0,16.1,
01-Oct,0,0,0,6.4,1.4,0.1,4.3,
02-Oct,78.4,0,0,0,37.7,5.6,10.5,
03-Oct,4.1,42.2,41.1,34.8,0,0,4.4,
04-Oct,0,60.5,0,11.5,0.1,15.2,7.5,
05-Oct,0,87.1,0,0,67,18.8,60.3,
06-Oct,0,0.5,1,0,18,0,6.8,
07-Oct,0,23.4,0.1,0,0,5.3,29,
08-Oct,0,6.5,5.3,0,25.3,0,71.8,
09-Oct,0,0,0,0,5.1,0,23.5,
10-Oct,19,57.3,0,0,11.7,0,2.4,
11-Oct,0,1.4,51.5,0,33.8,0,0,
12-Oct,33.1,55.1,0,0,0,0,0,
13-Oct,0,0,3.4,0,0,0,0,
14-Oct,0,0,6.4,0,0,0,0,
15-Oct,38.9,0,0,0,0,0,0,
16-Oct,0.6,0.8,0,0,0,0,0,
17-Oct,16.2,0,0,0,0,0,2.7,
18-Oct,0,0.6,0,0,0,0,19.4,
19-Oct,0,0,0,0,0,0,67,
20-Oct,0,0,0,0,0,0,63,
21-Oct,0,0,0,0,0,6.1,10.9,
22-Oct,1.4,0,1.7,4.7,0,0,51.5,
23-Oct,0,0,10,0,0,0,1,
24-Oct,5.1,0,0.1,0,0,0,34.4,
25-Oct,0,0,0,0,0,0,0,
26-Oct,0,0,0,0,0,0,0,
27-Oct,0,0,0,0,0,0,0,
28-Oct,0,0,0,0,0,0,0,
29-Oct,13.3,0,0,0,0,0,3.5,
30-Oct,5.1,0,0,0,0,0,0,
31-Oct,0,0,0,0,0,0,0,
01-Nov,0,0,0,0,0,0,0,
02-Nov,0,0,0,0,0,0,0,
03-Nov,2.1,0,0,0,0,0,0,
04-Nov,0.8,0,0,0,0,0,0,
05-Nov,0,0,0,0,9.2,0,0,
06-Nov,0,0,0,0,0,0,0,
07-Nov,0,0,0,0,0,0,0,
08-Nov,0,0,0,0,0,0,0,
09-Nov,0,0,0,0,0,0,0,
10-Nov,0,0,0,0,0,0,0,
11-Nov,0,0,0,0,0,0,0,
12-Nov,0,0,0,0,0,0,0,
13-Nov,0,0,0,0,0,0,0,
14-Nov,0,0,0,0,0,0,0,
15-Nov,0,0,0,0,0,0,0,
16-Nov,0,0,0,0,0,0,0,
17-Nov,0,0,0.6,0.6,0,0,0,
18-Nov,0,0,0,0,0,0,0,
19-Nov,0,0,0,0,0,0,0,
20-Nov,0,0,0,0,0,0,0,
21-Nov,0,0,0,0,0,0,0,
22-Nov,0,0,0,0,0,0,0,
23-Nov,0,0,0,0,0,0,0,
24-Nov,0,0,0,0,0,0,0.01,
25-Nov,0,0,0,0,0,0,0,
26-Nov,0,0,0,0,0,0,0,
27-Nov,0,0,0,0,0,0,0,
28-Nov,0,0,0,0,0,0,0,
29-Nov,0,0,0,0,0,0,0,
30-Nov,0,0,0,0,0,0,0,
01-Dec,0,0,0,0,0,0,0,
02-Dec,0,0,0,0,0,0,0,
03-Dec,0,0,0,0,0,0,0.01,
04-Dec,0,0,0,0,0,0,1.6,
05-Dec,0,0,0,0,0,0,0.01,
06-Dec,0,0,0,0,0,0,0,
07-Dec,0,0,0,0,0,0,4.6,
08-Dec,0,0,0,0,0,0,0,
09-Dec,0,0,0,0,0,0,0,
10-Dec,0,0,0,0,0,0,0,
11-Dec,0,0,0,0,0,0,0,
12-Dec,0,0,0,0,0,0,0,
13-Dec,0,0,0,0,0,0,0,
14-Dec,0,0,0,0,39.6,0,0,
15-Dec,0,0,0,0,0,0,0,
16-Dec,0,0,0,0,0,0,0,
17-Dec,0,0,0,0,0,0,0,
18-Dec,0,0,0,0,0,0,0,
19-Dec,0,0,0,0,0,0,0,
20-Dec,0,0,0,0,0,0,0,
21-Dec,0,0,0,0,0,0,0,
22-Dec,0,0,0,0,0,0,0,
23-Dec,0,0,0,0,0,0,0,
24-Dec,0,0,0,0,0,0,0,
25-Dec,0,0,0,0,0,0,0,
26-Dec,0,0,0,0,0,0,0,
27-Dec,0,0,0,0,0,0,0,
28-Dec,0,0,0,0,0,0,0,
29-Dec,0,0,0,0,0,0,6.5,
30-Dec,0,0,0,0,0,0,31.3,
31-Dec,0,0,0,0,0,0,0.1,